feature_name,Scaler_center,Scaler_scale,Q1_Coef_age,Q1_Coef_age2,Q1_Intercept,Q5_Coef_age,Q5_Coef_age2,Q5_Intercept,Q25_Coef_age,Q25_Coef_age2,Q25_Intercept,Q50_Coef_age,Q50_Coef_age2,Q50_Intercept,Q75_Coef_age,Q75_Coef_age2,Q75_Intercept,Q95_Coef_age,Q95_Coef_age2,Q95_Intercept,Q99_Coef_age,Q99_Coef_age2,Q99_Intercept,MAE_norm,quantile
A2009-ctx-rh-S_postcentral_GrayVol,2983.0,714.0,0.031021190665221368,-0.0003926975344968192,-1.935057809033835,-0.011279509069618719,3.095981268664395e-05,-0.6107429632479784,-0.01222848638159419,2.4861721590684487e-05,0.0619835536728268,-0.011544374289472312,-1.8137273039233956e-05,0.5658636933146733,-0.02927650021776959,0.0001829772512459907,1.4256265948646296,-0.06773387401155868,0.0005150107197742843,3.3048404163933105,-0.05589064462582944,0.00036370142926697984,3.856708096772547,0.5794026742884861,75.0
A2009-ctx-rh-S_postcentral_ThickAvg,1.927,0.17700000000000005,-0.04209041546792588,0.00026920997180953277,-0.1352917825027006,-0.04551000922037816,0.00030712319420709265,0.3602929847161717,-0.04885274813856211,0.0003415087656579085,1.0050540069908303,-0.055164435470263874,0.0003710276568622719,1.6941252549813783,-0.07946824772701133,0.0006242168626198128,2.7167303316046505,-0.10463102122081505,0.000863283063590635,4.085715208296872,-0.12079632904213117,0.0010339458786736086,4.903723493840415,0.5560130548852248,95.0
A2009-ctx-rh-S_postcentral_ThickStd,0.449,0.06,0.006663071011937222,-0.00013630870384632508,-1.4329471490624457,-0.017292387829802785,0.00010571203865007855,-0.4964211048156498,-0.03583549783549788,0.0002844774273345706,0.5338666666666675,-0.04623702420811464,0.00039149800180283257,1.2182514857341447,-0.07277374362895751,0.0007251537098284511,2.1976832045849313,-0.0927488151658767,0.0009004739336492873,3.541252448657188,-0.08865176126490647,0.0007896110701685584,4.303484569063372,0.5833331927827445,50.0
A2009-ctx-rh-S_precentral-inf-part_GrayVol,2428.0,579.0,-0.023302679933302525,0.00014272037085510077,-0.8785859402821667,-0.015499163154133798,4.326590275206389e-05,-0.5553357378963426,-0.012436651917588946,4.228223186211165e-06,0.0907929396757273,-0.024681704770505845,0.00010947059336094975,0.8594935026817726,-0.0326003543152456,0.00019012975393076055,1.5783682824178633,-0.0401952227917978,0.0001330063913812573,2.99528596760132,-0.04789545223910123,0.0002413717270253687,3.7487174200567943,0.6167251455232349,50.0
A2009-ctx-rh-S_precentral-inf-part_ThickAvg,2.342,0.20100000000000007,-0.03563451043034262,0.0001916081893553031,-0.6095040181213083,-0.047463746094156545,0.00028048626569826974,0.2930494673752705,-0.03229921196388423,0.0001266832936753775,0.679838236068887,-0.043844378115897066,0.00025970759856584,1.4182102167068178,-0.058466632583848904,0.00043160276005871503,2.151766409617631,-0.09438162366600535,0.0008091994865715551,3.616760550529205,-0.08752481313053857,0.0007502252345192599,3.9691452048119085,0.5760857982869161,95.0
A2009-ctx-rh-S_precentral-inf-part_ThickStd,0.455,0.07300000000000001,-0.0044666413062235035,7.949748649061524e-05,-1.4308331863374797,-0.0438960633451559,0.0004703650032425168,-0.15147754657614185,-0.03632534902764879,0.0004120322068922353,0.2801271765519428,-0.03797715572617383,0.0004195949306829171,0.7989209544182573,-0.057764195040487604,0.0006052691232761938,1.798041286348429,-0.050006246599982325,0.000506513596413046,2.5084021100995484,-0.010885080724166732,7.002908241168758e-05,2.2909510545749106,0.5908224870495475,25.0
A2009-ctx-rh-S_precentral-sup-part_GrayVol,1771.0,472.0,0.0009509926004456309,-9.862085972873643e-05,-1.3433612706879707,-0.006425703336630018,3.2356363040137564e-05,-0.8248987446428852,-0.026168829675348882,0.00020331782679191448,0.25364342035289505,-0.02411249807622735,0.00018646592296669008,0.6638903008847281,-0.028786791925870612,0.0002213077330401504,1.3255784465669895,-0.08405719362289309,0.0008741409001834622,3.301219773282035,-0.022863472864942443,0.00012720452859573067,2.958714805792816,0.5993578836517087,75.0
A2009-ctx-rh-S_precentral-sup-part_ThickAvg,2.163,0.2469999999999999,0.019579302694037848,-0.00019643473864084415,-2.131570770652175,0.027317547354470742,-0.00029651517829487476,-1.7461558225077758,-0.016457103575047947,0.00010510665475464531,0.05325416953430093,-0.054801023621209644,0.0004813107053127096,1.4409510294222736,-0.051156067512593974,0.00042978765481617437,1.8820216453653127,-0.07424464822915638,0.0006723416688912368,3.0174041951366584,-0.08711556188663397,0.0007896190590988254,3.8778056007902277,0.5825579574064481,100.0
A2009-ctx-rh-S_precentral-sup-part_ThickStd,0.46,0.07300000000000001,-0.03354493090995908,0.0004349837347419939,-1.0899969558599703,-0.04087747497272824,0.00043743423402550525,-0.23037338179501313,-0.0338500913081256,0.00035709099492366565,0.25011612783351983,-0.049109264603077546,0.0005316498469019834,1.0473663437794198,-0.05587982624148832,0.0006301494184743522,1.6213227803367836,-0.05918345997253648,0.0007553923713157369,2.369862737777484,-0.07618433632097935,0.0010747799168622924,3.0176430421563802,0.6012312266962806,95.0
A2009-ctx-rh-S_suborbital_GrayVol,542.0,204.0,0.00012951115903264327,-3.621922244134187e-05,-1.682964296041729,0.016707745013705998,-0.0002523047934315081,-1.4795361357699601,-0.0048807737297895245,-1.604830314476256e-05,-0.24169974137232406,-0.007559312999169893,-2.5919948726153076e-06,0.3486027018370275,-0.016502892517301058,7.265084342560577e-05,1.078223782619666,-0.03497708331631762,0.00028198920173517675,2.1660130017759682,-0.16446830881043867,0.001501299836135521,5.976122038511106,0.6003793758119043,95.0
A2009-ctx-rh-S_suborbital_ThickAvg,2.343,0.40500000000000025,-0.011776219050750204,5.6773583371407516e-05,-1.0205740540770774,-0.013022669937173735,6.255339664088146e-05,-0.5765321647749421,-0.02157607024680504,0.0001316496215713638,0.2432743882626391,-0.029622295991138616,0.00021973761032837021,0.8457176463256543,-0.06109148161711352,0.0004886471293281731,2.214529021273242,-0.06965175449726468,0.0006193290239909244,3.2166990372224453,-0.08087794156837723,0.0007493045636792088,4.171601888831993,0.605538498259158,95.0
A2009-ctx-rh-S_suborbital_ThickStd,0.564,0.19000000000000006,-0.030709899911201675,0.0003113833035683697,-0.6165529741942746,-0.03382172182011336,0.000340551435181048,-0.2596157825236551,-0.03788788406649544,0.0003607840253976867,0.4459145580478162,-0.03570082956572075,0.0003025337023198284,0.9302991731370299,-0.041721001859293304,0.00036528310772490456,1.5804995116777858,-0.031659562881839666,0.00028663027113928215,2.2006913191089708,-0.05105783055507123,0.0005014200848513334,3.2411255988614043,0.5849761037585598,95.0
A2009-ctx-rh-S_subparietal_GrayVol,1865.0,490.0,-0.0002842151528278,-3.9874273236328e-05,-1.3173795200057286,-0.0009904154523928683,-0.00012521879230040271,-0.6830143239597462,-0.007770289080004861,-9.778154979884308e-05,0.14063239943544018,-0.0216586176160765,2.653755773438143e-05,0.9575518353455962,-0.0265842740183933,2.3542325900162304e-05,1.7030580792300625,-0.048212613956720676,0.00026426550387977283,3.021402303201992,-0.038669567737184996,9.426238998382231e-05,3.6930831876266614,0.5831407858818773,75.0
A2009-ctx-rh-S_subparietal_ThickAvg,2.244,0.20100000000000007,0.0361404965215031,-0.000647901580774857,-1.6478408040638728,-0.016999437810292856,-6.403381704055974e-05,-0.135332956197592,-0.03920588308206976,0.00019058485045323018,0.8984203668428848,-0.03609393140773542,0.00016948468457560567,1.2546738357899987,-0.060936204744572994,0.00045344436338426534,2.240704558492976,-0.08901967656823517,0.0007639853274692791,3.5195921595839783,-0.09957916453426871,0.0007511464648171472,4.633564191851572,0.549807396991179,50.0
A2009-ctx-rh-S_subparietal_ThickStd,0.465,0.08200000000000002,-0.02399219553838945,0.00025771380843172615,-0.9243097232710511,-0.005900136238139455,-2.7908501197386066e-06,-0.7901154563531132,-0.039592781346628116,0.00036605064183024686,0.5076087760907072,-0.0523510788597987,0.0005143957123184947,1.2236077925306617,-0.07109832179636087,0.0006759412287913388,2.2256770938870187,-0.0734797695603674,0.0006429314158366299,3.321726683879065,-0.08741238775431764,0.0007676004334597839,4.325091289705479,0.6004629163443258,25.0
A2009-ctx-rh-S_temporal_inf_GrayVol,2043.0,428.0,0.0040198151707643,-9.028783762635171e-05,-1.5951270650834841,0.021129128014938502,-0.00029301968099000527,-1.384867336995629,0.002521630597612559,-0.00013429298356636168,-0.28497056607367505,-0.002638430442631263,-0.00010173293027976263,0.3678896809748492,0.003938347922179522,-0.0001947857387296039,0.774893794871705,-0.04226912767635822,0.0002982804371416439,2.515429300349402,-0.033467513564252926,0.0001143829171679228,3.119242600894585,0.576759130572261,5.0
A2009-ctx-rh-S_temporal_inf_ThickAvg,2.441,0.18299999999999983,0.01670182994280713,-0.00023051741320106434,-1.8862796504194255,0.010691290855331258,-0.00021897046780990624,-1.1787275245156235,-0.025298399386581096,0.00015791899793260903,0.31717904069339514,-0.013450930602115675,3.033959582405689e-05,0.525215913791413,-0.03567615460780906,0.00024012354292266014,1.5900208170699996,-0.04219762480418327,0.00027656979789083126,2.5762574528174063,-0.044134629162967454,0.00026190841749237003,3.3974555746803237,0.6035986531389842,75.0
A2009-ctx-rh-S_temporal_inf_ThickStd,0.47,0.09200000000000003,-0.04788090874660852,0.0004491392806422298,-0.09135693768578694,-0.02799015437809019,0.00022985170901707532,-0.2053834676255693,-0.03222013108614465,0.0002541349860010133,0.47498588470623543,-0.042659019709136714,0.0003423074721436808,1.184654718207189,-0.042021203964444497,0.0003273869623652925,1.716032886634311,-0.0922818165575462,0.0007984567706074756,3.835839231919629,-0.1314671880388306,0.0012101658305565793,5.358446878346802,0.5735956529152394,95.0
