feature_name,MAE_norm,Norm_Coeff_age,Norm_Coeff_age2,Norm_Intercept,Scaler_center,Scaler_scale,mean
A2009-ctx-lh-Pole_temporal_ThickAvg,0.616028275332557,0.00979063979667883,-8.68105253007131E-05,-0.264308500790426,3.205,0.282,-0.591570704324612
A2009-ctx-lh-Pole_temporal_ThickStd,0.559687667373972,-0.0461005794659709,0.000388365515814197,1.24560746258254,0.787,0.128,0.672805369273211
A2009-ctx-lh-S_calcarine_GrayVol,0.574113265415917,-0.0136294618755039,5.73612861335816E-05,0.516185504087869,2568,685,0.53845596123364
A2009-ctx-lh-S_calcarine_ThickAvg,0.545277550112927,-0.0792341736002346,0.000555516999341502,2.39580423024196,1.67,0.156,-0.840934760414072
A2009-ctx-lh-S_calcarine_ThickStd,0.554139637015631,-0.0405839195717801,0.000253481043707207,1.29961240521774,0.566,0.101,-0.41716500476166
A2009-ctx-lh-S_central_GrayVol,0.59426610026389,0.00120474685060345,2.24443998066262E-05,-0.123836577168364,3349,550,-0.137992963862926
A2009-ctx-lh-S_central_ThickAvg,0.594924311937281,-0.0372916803965792,0.00028269565492695,1.06557853021886,1.819,0.138,-1.11923904047191
A2009-ctx-lh-S_central_ThickStd,0.587467285709096,0.0100033414892809,-8.34332644556805E-05,-0.265333191240505,0.57,0.097,-1.21534351486825
A2009-ctx-lh-S_cingul-Marginalis_GrayVol,0.618866388698618,-0.0193351500472157,0.000132378494163434,0.585042742184437,1476,280,0.448267914984347
A2009-ctx-lh-S_cingul-Marginalis_ThickAvg,0.589911581823717,-0.0714650495754079,0.000582299862051098,1.9654844141118,2.105,0.178,-1.01221593954585
A2009-ctx-lh-S_cingul-Marginalis_ThickStd,0.579521994573752,-0.0520671337398435,0.000463223129187099,1.33098912593254,0.456,0.078,-0.723555561606046
A2009-ctx-lh-S_circular_insula_ant_GrayVol,0.590172353070827,-0.0471234828506231,0.000310242704226072,1.48437944236427,852,185,1.65497805876245
A2009-ctx-lh-S_circular_insula_ant_ThickAvg,0.56321973470482,-0.0624741965671255,0.000460746605625902,1.78774738898617,2.715,0.278,-0.594346046175639
A2009-ctx-lh-S_circular_insula_ant_ThickStd,0.583626357135432,-0.00951075274700911,0.000130801972821651,0.162348425337894,0.535,0.129,-0.190708493997732
A2009-ctx-lh-S_circular_insula_inf_GrayVol,0.606935397510016,-0.0142865675099365,0.000129034743166153,0.382634885728833,2209,391,-0.797667134594948
